Radio Impuls,88.0,Știri, Divertisment, Muzică - Contemporary Hit Radio & Hot Hits
Radio Trinitas,88.5,Creștin, Religios
Radio ZU,89.0,Știri, Divertisment, Muzică - Top 40, Hot Hits / Heavy Rotation
Dance FM,89.5,Muzică - Dance & Clubbing
Magic FM,90.8,Știri, Muzică - Classic & Adult Contemporary
Național FM,91.7,Muzică - 100% Românească
One World Radio,92.1,Muzică - Dance & Clubbing, Electro
RFI România | RFI Monde,93.5,Știri interne & internaționale, Talk-Show, Actualitate, Emisiuni informative
Radio Vocea Evangheliei | Radio Vocea Speranței,94.2,Creștin, Religios
Radio Guerrilla,94.8,Muzică - Alternative Adult Contemporany
Kiss FM,96.1,Știri, Divertisment, Muzică - Top 40, Hot Hits / Heavy Rotation
Gold FM,96.9,Știri, Muzică - Classic & Adult Contemporary
Digi FM,97.9,Știri, Muzică - Soft Adult Contemporary, Emisiuni informative
București FM,98.3,Știri locale, Muzică - Adult Contemporary, Emisiuni informative
Radio Itsy Bitsy,99.3,Copii & Sfaturi pentru părinți, Emisiuni informative
Virgin Radio,100.2,Știri, Divertisment, Muzică - Top 40, Hot Hits / Heavy Rotation
Rock FM,100.6,Muzică - Rock & Classic Rock / 80's & 90's
Radio România Cultural,101.3,Știri, Educațional, Cultural
Romantic FM,101.9,Muzică - Oldies / 60's 70's 80's & 90's, Love & Latino & Soft Music
PRO FM,102.8,Știri, Divertisment, Muzică - Top 40, Hot Hits / Heavy Rotation
Radio Seven,103.4,Știri, Muzică - Alternative Adult Contemporary
Digi 24 FM,103.8,Retransmitere Digi 24
Radio România Muzical,104.8,Muzică simfonică, operă/operetă, muzică corală & tradițională, jazz și muzică de film
Radio România Actualități,105.3,Știri, Talk-Show, Emisiuni informative
Sport Total FM,105.8,Știri & Emisiuni & Transmisiuni sportive
3 Fm,106.2,Retransmitere Antena 3
Europa FM,106.7,Știri, Muzică - Adult Contemporary, Emisiuni informative
Smart FM,107.3,Muzică - Classic & Adult Contemporary
